"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Domain Generalization via Aggregation and Separation for Audio Deepfake Detection","Y. Xie; H. Cheng; Y. Wang; L. Ye","State Key Laboratory of Media Convergence and Communication and the School of Information and Communication Engineering, Communication University of China, Beijing, China; State Key Laboratory of Media Convergence and Communication, Communication University of China, Beijing, China; State Key Laboratory of Media Convergence and Communication, Communication University of China, Beijing, China; State Key Laboratory of Media Convergence and Communication, Communication University of China, Beijing, China",IEEE Transactions on Information Forensics and Security,"21 Nov 2023","2024","19","","344","358","In this paper, we propose an Aggregation and Separation Domain Generalization (ASDG) method for Audio DeepFake Detection (ADD). Fake speech generated from different methods exhibits varied amplitude and frequency distributions rather than genuine speech. In addition, the spoofing attacks in training sets may not keep pace with the evolving diversity of real-world deepfake distributions. In light of this, we attempt to learn an ideal feature space that can aggregate real speech and separate fake speech to achieve better generalizability in the detection of unseen target domains. Specifically, we first propose a feature generator based on Lightweight Convolutional Neural Networks (LCNN), which is employed for generating a feature space and categorizing the feature into real and fake. Meanwhile, single-side domain adversarial learning is leveraged to make only the real speech from different domains indistinguishable, which enables the distribution of real speech to be aggregated in the feature space. Furthermore, a triplet loss is adopted to separate the distribution of fake speech while aggregating the distribution of real speech. Finally, in order to test the generalizability of the model, we train it with three different English datasets and evaluate in harsh conditions: cross-language and noisy datasets. The extensive experiments show that ASDG outperforms the baseline models in cross-domain tasks and decreases Equal Error Rate (EER) by up to 39.24% when compared to that of RawNet2. It is proved that the proposed Aggregation and Separation Domain Generalization method can be an effective strategy to improve the model generalizability.","1556-6021","","10.1109/TIFS.2023.3324724","Natural Science Foundation of China(grant numbers:62201524,62271455,61971383); Fundamental Research Funds for the Central Universities(grant numbers:CUC23GZ016); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10286049","Audio deepfake detection;domain generalization;feature generator;triplet loss","Deepfakes;Task analysis;Training;Faces;Speech enhancement;Vocoders;Feature extraction","","36","","96","IEEE","16 Oct 2023","2024","","IEEE","IEEE Journals"
"What Does an Audio Deepfake Detector Focus on? A Study in the Time Domain","P. Grinberg; A. Kumar; S. Koppisetti; G. Bharaj","EPFL, Switzerland; Reality Defender Inc., USA; Reality Defender Inc., USA; Reality Defender Inc., USA","ICASSP 2025 - 2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","7 Mar 2025","2025","","","1","5","Adding explanations to audio deepfake detection (ADD) models will enable insights on the decision making process and thus boost their real-world application. In this paper, we propose a relevancy-based explainable AI (XAI) method to analyze the predictions of transformer-based ADD models. We compare against standard Grad-CAM and SHAP-based methods, using quantitative faithfulness metrics as well as a partial spoof test, to comprehensively analyze the relative importance of different temporal regions in an audio. We consider large datasets, unlike previous works where only limited utterances are studied, and find that the XAI methods differ in their explanations. The proposed relevancy-based XAI method performs the best overall on a variety of metrics. Further investigation on the relative importance of speech/non-speech, phonetic content, and voice onsets/offsets suggests that the XAI results obtained from a limited set of utterances do not necessarily hold when evaluated on large datasets.","2379-190X","979-8-3503-6874-1","10.1109/ICASSP49660.2025.10887568","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10887568","Deepfake Detection;Model Interpretation;Explainable AI","Measurement;Deepfakes;Time-frequency analysis;Noise;Predictive models;Phonetics;Transformers;Time-domain analysis;Speech processing;Standards","","2","","38","IEEE","7 Mar 2025","6-11 April 2025","6-11 April 2025","IEEE","IEEE Conferences"
"Constructing New Backbone Networks via Space-Frequency Interactive Convolution for Deepfake Detection","Z. Guo; Z. Jia; L. Wang; D. Wang; G. Yang; N. Kasabov","School of Computer Science and Technology, Xinjiang University, Urumqi, China; School of Computer Science and Technology, Xinjiang University, Urumqi, China; School of Computer Science and Technology, Xinjiang University, Urumqi, China; College of Computer Science and Electronic Engineering, Hunan University, Changsha, China; College of Computer Science and Electronic Engineering, Hunan University, Changsha, China; School of Engineering, Computing and Mathematical Sciences, Auckland University of Technology, Auckland, New Zealand",IEEE Transactions on Information Forensics and Security,"21 Nov 2023","2024","19","","401","413","The serious concerns over the negative impacts of Deepfakes have attracted wide attentions in the community of multimedia forensics. The existing detection works achieve deepfake detection by improving the traditional backbone networks to capture subtle manipulation traces. However, there is no attempt to construct new backbone networks with different structures for Deepfake detection by improving the internal feature representation of convolution. In this work, we propose a novel Space-Frequency Interactive Convolution (SFIConv) to efficiently model the manipulation clues left by Deepfake. To obtain high-frequency features from tampering traces, a Multichannel Constrained Separable Convolution (MCSConv) is designed as the component of the proposed SFIConv, which learns space-frequency features via three stages, namely generation, interaction and fusion. In addition, SFIConv can replace the vanilla convolution in any backbone networks without changing the network structure. Extensive experimental results show that seamlessly equipping SFIConv into the backbone network greatly improves the accuracy for Deepfake detection. In addition, the space-frequency interaction mechanism does benefit to capturing common artifact features, thus achieving better results in cross-dataset evaluation. Our code will be available at https://github.com/EricGzq/SFIConv.","1556-6021","","10.1109/TIFS.2023.3324739","Xinjiang Uygur Autonomous Region Tianshan Excellence Project(grant numbers:2022TSYCLJ0036); Scientific and Technological Innovation 2030 Major Project(grant numbers:2022ZD0115800); National Natural Science Foundation of China(grant numbers:62302427,62261053,61972143,61972142,62372164,U1903213); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10286083","Deepfake detection;space-frequency interactive convolution;backbone network;manipulation traces","Deepfakes;Convolution;Faces;Feature extraction;Forgery;Deep learning;Task analysis","","33","","52","IEEE","16 Oct 2023","2024","","IEEE","IEEE Journals"
"Deepfake detection based on Spatio-Temporal Fusion","T. Chen; J. Hu; S. Yang","College of Computer Science & Technology, Chengdu University of Information Technology, Chengdu, China; College of Computer Science & Technology, Chengdu University of Information Technology, Chengdu, China; College of Computer Science & Technology, Chengdu University of Information Technology, Chengdu, China",2025 International Conference on Information Management and Computing Technology (ICIMCT),"8 Oct 2025","2025","","","77","82","To address the limitations of existing detection algorithms that utilize temporal information but are weak in extracting local information of forged traces, this paper introduces a detection algorithm for forged faces which based on spatiotemporal feature fusion. The algorithm comprises a spatial-frequency domain hybrid feature enhancement module and a frequency-aware dynamic gating unit module. Through the frequency domain, the high-frequency components of forged traces are enhanced to capture the global spatial and local frequency-domain cues. Subsequently, the frequency-aware dynamic gating unit is employed to amplify subtle cues in the temporal dimension that are difficult to discern. These cues from both dimensions are then integrated through an information fusion module to obtain a more comprehensive feature representation. Experimental results demonstrate that the proposed algorithm exhibits superior generalization performance on datasets in the forged domain.","","979-8-3315-8501-3","10.1109/ICIMCT.2025.00024","China Meteorological Administration; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11185707","deepfake detection;Feature Enhancement;Spatiotemporal Feature Fusion","Deepfakes;Heuristic algorithms;Frequency-domain analysis;Computational modeling;Logic gates;Feature extraction;Robustness;Spatiotemporal phenomena;Information management;Detection algorithms","","","","46","IEEE","8 Oct 2025","9-11 May 2025","9-11 May 2025","IEEE","IEEE Conferences"
"ADD 2022: the first Audio Deep Synthesis Detection Challenge","J. Yi; R. Fu; J. Tao; S. Nie; H. Ma; C. Wang; T. Wang; Z. Tian; Y. Bai; C. Fan; S. Liang; S. Wang; S. Zhang; X. Yan; L. Xu; Z. Wen; H. Li","National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences; National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences; National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences; National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences; National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences; National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences; National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences; National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences; National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences; National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences; National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences; National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences; National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences; University of Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China; Department of Electrical and Computer Engineering, National University of Singapore","ICASSP 2022 - 2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","27 Apr 2022","2022","","","9216","9220","Audio deepfake detection is an emerging topic, which was included in the ASVspoof 2021. However, the recent shared tasks have not covered many real-life and challenging scenarios. The first Audio Deep synthesis Detection challenge (ADD) was motivated to fill in the gap. The ADD 2022 includes three tracks: low-quality fake audio detection (LF), partially fake audio detection (PF) and audio fake game (FG). The LF track focuses on dealing with bona fide and fully fake utterances with various real-world noises etc. The PF track aims to distinguish the partially fake audio from the real. The FG track is a rivalry game, which includes two tasks: an audio generation task and an audio fake detection task. In this paper, we describe the datasets, evaluation metrics, and protocols. We also report major findings that reflect the recent advances in audio deepfake detection tasks.","2379-190X","978-1-6654-0540-9","10.1109/ICASSP43922.2022.9746939","Research and Development; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9746939","audio deepfake;fake detection;low-quality fake;partially fake;audio fake game","Measurement;Protocols;Conferences;Games;Signal processing;Acoustics;Task analysis","","104","","20","IEEE","27 Apr 2022","23-27 May 2022","23-27 May 2022","IEEE","IEEE Conferences"
"Boosting Deepfake Detection Generalizability via Expansive Learning and Confidence Judgement","K. Zhang; Z. Hou; Z. Hua; Y. Zheng; L. Yu Zhang","School of Computer Science and Technology, Harbin Institute of Technology at Shenzhen, Shenzhen, China; School of Computer Science and Technology, Harbin Institute of Technology at Shenzhen, Shenzhen, China; School of Computer Science and Technology, Harbin Institute of Technology at Shenzhen, Shenzhen, China; School of Computer Science and Technology, Harbin Institute of Technology at Shenzhen, Shenzhen, China; School of Information and Communication Technology, Griffith University, Gold Coast Campus, Southport, QLD, Australia",IEEE Transactions on Circuits and Systems for Video Technology,"29 Jan 2025","2025","35","1","953","966","As deepfake technology poses severe threats to information security, significant efforts have been devoted to deepfake detection. To enable model generalization for detecting new types of deepfakes, it is required that the existing models should learn knowledge about new types of deepfakes without losing prior knowledge, a challenge known as catastrophic forgetting (CF). Existing methods mainly utilize domain adaptation to learn about the new deepfakes for addressing this issue. However, these methods are constrained to utilizing a small portion of data samples from the new deepfakes, and they suffer from CF when the size of the data samples used for domain adaptation increases. This resulted in poor average performance in source and target domains. In this paper, we introduce a novel approach to boost the generalizability of deepfake detection. Our approach follows a two-stage training process: training in the source domain (prior deepfakes that have been used for training) and domain adaptation to the target domain (new types of deepfakes). In the first stage, we employ expansive learning to train our expanded model from a well-trained teacher model. In the second stage, we transfer the expanded model to the target domain while removing assistant components. For model architecture, we propose the frequency extraction module to extract frequency features as complementary to spatial features and introduce spatial-frequency contrastive loss to enhance feature learning ability. Moreover, we develop a confidence judgement module to eliminate conflicts between new and prior knowledge. Experimental results demonstrate that our method can achieve better average accuracy in source and target domains even when using large-scale data samples of the target domain, and it exhibits superior generalizability compared to state-of-the-art methods.","1558-2205","","10.1109/TCSVT.2024.3462985","National Natural Science Foundation of China(grant numbers:62071142); Guangdong Basic and Applied Basic Research Foundation(grant numbers:2024A1515012299,2023A1515010714); Guangdong Provincial Key Laboratory of Novel Security Intelligence Technologies(grant numbers:2022B1212010005); Shenzhen Science and Technology Program(grant numbers:ZDSYS20210623091809029); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10684474","Deepfake detection;generalizability;domain adaptation;catastrophic forgetting","Deepfakes;Feature extraction;Adaptation models;Training;Data mining;Frequency-domain analysis;Finite element analysis","","2","","64","IEEE","19 Sep 2024","Jan. 2025","","IEEE","IEEE Journals"
"Diffusion-Aware Deepfake Detection via Kernel PCA on Noise Residuals for Semantic Communication","B. Chen","College of Information and Electrical Engineering, China Agriculture University, Beijing, China",2025 IEEE 101st Vehicular Technology Conference (VTC2025-Spring),"30 Sep 2025","2025","","","1","7","Deepfake creation relies on advanced deep learning models enabling hyper-realistic synthetic media with applications in industrial and social semantic communication. However, these advancements pose severe threats to digital security and semantic communication, where preserving content integrity is critical. Traditional detection methods fail against diffusion-generated content due to diminishing distributional gaps between real and synthetic samples. We propose a novel Deepfake Detection Pipeline that leverages the inherent noise-prediction mechanism of Denoising Diffusion Probabilistic Models (DDPMs) to extract discriminative distributional features. By fine-tuning a DDPM noise predictor, we capture subtle artifacts in synthetic images that are imperceptible to conventional detectors. These features are then analyzed through a kernel-based normative compliance detector, combining Kernel PCA (KPCA) with out-of-distribution detection to isolate deepfakes by measuring deviations from natural image manifolds. The proposed approach addresses the key challenge of detecting fine-grained distributional differences in high-quality synthetic media. Experiments demonstrate state-of-the-art performance on diffusion-generated deepfakes, outperforming existing methods on CREMA-D and Remote Sensing DeepFake Detection Dataset. The pipeline allows integration with existing detection frameworks, offering a scalable solution for evolving threats.","2577-2465","979-8-3315-3147-8","10.1109/VTC2025-Spring65109.2025.11174885","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11174885","Deepfake Detection;Diffusion Models;Noise Predictor;Distribution Features;Generative Models;Semantic Communication;High-Resolution Imaging","Deepfakes;Noise;Pipelines;Media;Predictive models;Feature extraction;Semantic communication;Diffusion models;Security;Principal component analysis","","","","33","IEEE","30 Sep 2025","17-20 June 2025","17-20 June 2025","IEEE","IEEE Conferences"
"A Novel Unified Approach to Deepfake Detection of Images","L. Sen; S. Mukherjee","Computer Science and Engineering, NIT Rourkela, Rourkela, Odisha; Computer Science and Engineering, NIT Rourkela, Rourkela, Odisha",2024 12th International Conference on Intelligent Systems and Embedded Design (ISED),"15 Apr 2025","2024","","","1","6","The advancements in the field of AI is increasingly giving rise to various threats. One of the most prominent of them is the synthesis and misuse of Deep Fakes. To sustain trust in this digital age, detection and tagging of deepfakes is very necessary. In this paper, a novel architecture for Deepfake detection in images is presented. The architecture uses cross-attention between spatial and frequency domain features along with a blood detection module to classify an image as real or fake. This paper aims to develop a unified architecture and provide insights into each step. It is trained on two small datasets with 200 and 400 images respectively. On comparative analysis, our model was better than the other possibilities. Further, there was an increment in accuracy of 4.29% and 4.60% upon adding 200 images to the dataset. This shows that, if trained on a large dataset and hyper-parameters optimized, the performance will increase significantly.","","979-8-3315-2261-2","10.1109/ISED63599.2024.10957205","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10957205","DeepFake detection;Cross Attention;Fourier Transform etc","Deepfakes;Image segmentation;Accuracy;Frequency-domain analysis;Tagging;Information age;Skin;Intelligent systems;Blood;Tuning","","","","16","IEEE","15 Apr 2025","20-22 Dec. 2024","20-22 Dec. 2024","IEEE","IEEE Conferences"
"GASGM-GFT: Gaussian Attenuation Singing Graph Model and Graph Fourier Transform for Singing Voice Deepfake Detection","B. Wu; Q. Qian; L. Ran; H. Wang","School of Information, Guizhou University of Finance and Economics, Guiyang, China; School of Information, Guizhou University of Finance and Economics, Guiyang, China; School of Information, Guizhou University of Finance and Economics, Guiyang, China; School of Information, Guizhou University of Finance and Economics, Guiyang, China",2025 International Joint Conference on Neural Networks (IJCNN),"14 Nov 2025","2025","","","1","8","Singing voice synthesis and singing voice conversion technologies have raised significant concerns regarding music copyright and authenticity. While extant research has predominantly focused on detecting spoofing speech, much less attention has been given to deepfake singing voice. Moreover, conventional techniques frequently prove incapable of capturing the intricate temporal relationships inherent in vocalisation, thus impeding their capacity to effectively extract both local and global characteristics. To address these challenges, this paper introduces a novel deepfake detection method of singing voice called GASGM-GFT (Gaussian Attenuation Singing Graph Model and Graph Fourier Transform). In this approach, a singing graph model between sampling points of the original singing is creatively constructed using a Gaussian attenuation function. This model captures the complex temporal relationships of the singing signal. Next, the Graph Fourier Transform (GFT) is applied to map the singing signal into the graph frequency domain. This helps capture both local and global frequency features within the singing graph model, revealing hidden deepfake properties of the signal. The one-dimensional graph frequency domain signals are then expanded into two dimensions and processed through residual blocks for feature enhancement. Finally, the graph attention module is utilized to model node relationships, compute attention weights, and aggregate features through graph pooling layers to produce the final discrimination result. The experimental results demonstrate that GASGM-GFT outperforms existing advanced methods for spoofing speech detection and singing voice deepfake detection on the CtrSVDD dataset. It achieves an equal error rate (EER) of only 2.53% on the Vocals test set and surpasses other systems on the Mixture test set.","2161-4407","979-8-3315-1042-8","10.1109/IJCNN64981.2025.11228680","National Natural Science Foundation of China; Department of Education of Guizhou Province; Guizhou Normal University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11228680","Graph Signal Processing;Singing Voice Deepfake Detection;Graph Neural Network","Voice activity detection;Deepfakes;Fourier transforms;Frequency-domain analysis;Computational modeling;Signal processing;Attenuation;Feature extraction;Robustness;Graph neural networks","","","","22","IEEE","14 Nov 2025","30 June-5 July 2025","30 June-5 July 2025","IEEE","IEEE Conferences"
"WaveGuard: Robust Deepfake Detection and Source Tracing via Dual-Tree Complex Wavelet and Graph Neural Networks","Z. He; Z. Guo; L. Wang; G. Yang; Y. Diao; D. Ma","College of Computer Science and Technology, Xinjiang University, Urumqi, China; College of Computer Science and Technology, Xinjiang University, Urumqi, China; College of Computer Science and Technology, Xinjiang University, Urumqi, China; College of Computer Science and Electronic Engineering, Hunan University, Changsha, China; School of Computer Science, Hefei University of Technology, Hefei, China; College of Computer Science and Technology, Xinjiang University, Urumqi, China",IEEE Transactions on Circuits and Systems for Video Technology,"","2025","PP","99","1","1","Deepfake technology has great potential in the field of media and entertainment, but it also brings serious risks, including privacy disclosure and identity fraud. To counter these threats, proactive forensic methods have become a research hotspot by embedding invisible watermark signals to build active protection schemes. However, existing methods are vulnerable to watermark destruction under malicious distortions, which leads to insufficient robustness. Moreover, embedding strong signals may degrade image quality, making it challenging to balance robustness and imperceptibility. Although watermarked images look natural, their underlying structures are often different from the original images, which is ignored by traditional watermarking methods. To address these issues, this paper proposes a proactive watermarking framework called WaveGuard, which explores frequency domain embedding and graph-based structural consistency optimization. In this framework, the watermark is embedded into the high-frequency sub-bands by dual-tree complex wavelet transform (DT-CWT) to enhance the robustness against distortions and deepfake forgeries. By leveraging joint sub-band correlations and selected sub-band combinations, the framework enables robust source tracing and semi-robust deepfake detection. To enhance imperceptibility, we propose a Structural Consistency Graph Neural Network (SC-GNN) that constructs graph representations of the original and watermarked images to ensure structural consistency and reduce perceptual artifacts. Experimental results show that the proposed method performs exceptionally well in face swap and face replay tasks. The code has been published at https://github.com/vpsg-research/WaveGuard.","1558-2205","","10.1109/TCSVT.2025.3628951","National Natural Science Foundation of China(grant numbers:62302427,62462060); Natural Science Foundation of Xinjiang Uygur Autonomous Region(grant numbers:2023D01C175); Tianshan Talent Training Program(grant numbers:2022TSYCLJ0036); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11224900","Deepfake Detection;Source Tracing;Frequency-domain Embedding;Graph Neural Network (GNN)","Watermarking;Deepfakes;Robustness;Distortion;Faces;Feature extraction;Perturbation methods;Graph neural networks;Training;Frequency-domain analysis","","1","","","IEEE","4 Nov 2025","","","IEEE","IEEE Early Access Articles"
"End-to-end Audio Deepfake Detection from RAW Waveforms: a RawNet-Based Approach with Cross-Dataset Evaluation","A. Di Pierno; L. Guarnera; D. Allegra; S. Battiato","IMT School of Advanced Studies Lucca, Lucca, Italy; Department of Mathematics and Computer Science, University of Catania, Catania, Italy; Department of Mathematics and Computer Science, University of Catania, Catania, Italy; Department of Mathematics and Computer Science, University of Catania, Catania, Italy",2025 International Joint Conference on Neural Networks (IJCNN),"14 Nov 2025","2025","","","1","8","Audio deepfakes represent a growing threat to digital security and trust, leveraging advanced generative models to produce synthetic speech that closely mimics real human voices. Detecting such manipulations is especially challenging under open-world conditions, where spoofing methods encountered during testing may differ from those seen during training. In this work, we propose an end-to-end deep learning framework for audio deepfake detection that operates directly on raw waveforms. Our model, RawNetLite, is a lightweight convolutional-recurrent architecture designed to capture both spectral and temporal features without handcrafted preprocessing. To enhance robustness, we introduce a training strategy that combines data from multiple domains and adopts Focal Loss to emphasize difficult or ambiguous samples. We further demonstrate that incorporating codec-based manipulations and applying waveform-level audio augmentations (e.g., pitch shifting, noise, and time stretching) leads to significant generalization improvements under realistic acoustic conditions. The proposed model achieves over 99.7% F1 and 0.25% EER on in-domain data (FakeOrReal), and up to 83.4% F1 with 16.4% EER on a challenging out-of-distribution test set (AVSpoof2021 + CodecFake). These findings highlight the importance of diverse training data, tailored objective functions and audio augmentations in building resilient and generalizable audio forgery detectors. Code and pretrained models are available at https://iplab.dmi.unict.it/mfs/Deepfakes/PaperRawNet2025/.","2161-4407","979-8-3315-1042-8","10.1109/IJCNN64981.2025.11229087","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11229087","Audio deepfake detection;synthetic speech recognition;raw audio classification;end-to-end learning;convolutional neural networks;RawNet;digital media forensics","Training;Deepfakes;Noise;Neural networks;Training data;Speech recognition;Robustness;Speech synthesis;Security;Testing","","1","","29","IEEE","14 Nov 2025","30 June-5 July 2025","30 June-5 July 2025","IEEE","IEEE Conferences"
"Generalizable Deepfake Detection With Phase-Based Motion Analysis","E. Prashnani; M. Goebel; B. S. Manjunath","Department of Electrical and Computer Engineering, University of California at Santa Barbara, Santa Barbara, CA, USA; Department of Electrical and Computer Engineering, University of California at Santa Barbara, Santa Barbara, CA, USA; Department of Electrical and Computer Engineering, University of California at Santa Barbara, Santa Barbara, CA, USA",IEEE Transactions on Image Processing,"12 Dec 2024","2025","34","","100","112","We propose PhaseForensics, a DeepFake (DF) video detection method that uses a phase-based motion representation of facial temporal dynamics. Existing methods that rely on temporal information across video frames for DF detection have many advantages over the methods that only utilize the per-frame features. However, these temporal DF detection methods still show limited cross-dataset generalization and robustness to common distortions due to factors such as error-prone motion estimation, inaccurate landmark tracking, or the susceptibility of the pixel intensity-based features to adversarial distortions and the cross-dataset domain shifts. Our key insight to overcome these issues is to leverage the temporal phase variations in the band-pass frequency components of a face region across video frames. This not only enables a robust estimate of the temporal dynamics in the facial regions, but is also less prone to cross-dataset variations. Furthermore, we show that the band-pass filters used to compute the local per-frame phase form an effective defense against the perturbations commonly seen in gradient-based adversarial attacks. Overall, with PhaseForensics, we show improved distortion and adversarial robustness, and state-of-the-art cross-dataset generalization, with 92.4% video-level AUC on the challenging CelebDFv2 benchmark (a recent state of-the-art method, FTCN, compares at 86.9%).","1941-0042","","10.1109/TIP.2024.3441821","NSF(grant numbers:1664172); Computational Facilities Purchased under NSF(grant numbers:1925717); Dissertation Fellowship funded by the Department of Electrical and Computer Engineering at UC Santa Barbara; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10685029","Deepfake detection;deep learning;video analysis;video forensics","Feature extraction;Deepfakes;Faces;Robustness;Detectors;Dynamics;Generators","","12","","85","IEEE","20 Sep 2024","2025","","IEEE","IEEE Journals"
"Quantitative Dissection of Spatial, Temporal, and Frequency Features in Deepfake Detection","Y. Tiwari; D. Saxena; F. -R. Hsu; A. Yadav","Department of Computer Science and Engineering, IET, DSMNRU, Lucknow, U.P, India; Department of Computer Science and Engineering, Chandigarh University, Mohali, Punjab, India; Department of Computer Science and Information Engineering, Feng Chia University, Taichung, Taiwan; Department of Computer Science and Engineering, IET, DSMNRU, Lucknow, U.P, India","2025 IEEE International Conference on Computer, Electronics, Electrical Engineering & their Applications (IC2E3)","24 Sep 2025","2025","","","1","6","Deepfake detection models have achieved remarkable accuracies yet remain opaque in their decision processes. In this study, we dissect the feature hierarchies exploited by four state-of-the-art deepfake detectors—Xception, ResNet50, EfficientNet-B4, and Vision Transformer (ViT), using advanced explainability methods (Grad-CAM, LIME, SHAP) on the FaceForensics++ dataset across various compression levels. Our experiments demonstrate that localized spatial artifacts, temporal discontinuities, and frequency-based anomalies are critical for discrimination. For instance, occluding the mouth region reduces Xception’s accuracy from 92.5% to 55.3% (a 37.2% drop), while blurring the eye region induces a 28% accuracy reduction for Xception and 35% for EfficientNet-B4. Temporal perturbation via inter-frame Gaussian smoothing decreases EfficientNet-B4’s performance from 95.2% to 64.7% (a 30.5% drop), underscoring its reliance on micro-motion cues. Moreover, Fourier analysis reveals that real videos exhibit 31.2% high-pass energy in the forehead region versus 22.8% in deepfakes, and filtering these features lowers EfficientNet-B4’s accuracy from 94.1% to 66.4%. These quantifiable metrics confirm that deepfake models integrate spatial, temporal, and frequency-domain features for classification. Our work provides a reproducible framework for interpretable deepfake detection, paving the way for more robust cross-dataset generalization and enhanced trustworthiness in media forensics.","","979-8-3315-2439-5","10.1109/IC2E365635.2025.11166815","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11166815","Deepfake Detection;Explainable AI;Grad-CAM;LIME;SHAP;Xception;ResNet50;EfficientNet-B4;Vision Transformer;Feature Attribution","Deepfakes;Computer vision;Accuracy;Smoothing methods;Perturbation methods;Mouth;Media;Feature extraction;Transformers;Residual neural networks","","","","21","IEEE","24 Sep 2025","15-16 May 2025","15-16 May 2025","IEEE","IEEE Conferences"
"Exploring the Impact of Moire Pattern on Deepfake Detectors","R. Tariq; S. Tariq; S. S. Woo","Computer Science & Engineering Department, Sungkyunkwan University, South Korea; CSIRO’s Data61, Australia; Computer Science & Engineering Department, Sungkyunkwan University, South Korea",2024 IEEE International Conference on Image Processing (ICIP),"27 Sep 2024","2024","","","3813","3819","Deepfake detection is critical in mitigating the societal threats posed by manipulated videos. While various algorithms have been developed for this purpose, challenges arise when detectors operate externally, such as on smartphones, when users take a photo of deepfake images and upload on the Internet. One significant challenge in such scenarios is the presence of Moiré patterns, which degrade image quality and confound conventional classification algorithms, including deep neural networks (DNNs). The impact of Moiré patterns remains largely unexplored for deepfake detectors. In this study, we investigate how camera-captured deepfake videos from digital screens affect detector performance. We conducted experiments using two prominent datasets, CelebDF and FF++, comparing the performance of four state-of-theart detectors on camera-captured deepfake videos with introduced Moiré patterns. Our findings reveal a significant decline in detector accuracy, with none achieving above 68% on average. This underscores the critical need to address Moiré pattern challenges in real-world deepfake detection scenarios.","2381-8549","979-8-3503-4939-9","10.1109/ICIP51287.2024.10647902","Sungkyunkwan University; Sungkyunkwan University; Research and Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10647902","Moire Pattern;Deepfakes Detection;Video Manipulation;Digital Screen Capture Analysis","Resistance;Image quality;Deepfakes;Image processing;Noise;Detectors;Classification algorithms","","1","","21","IEEE","27 Sep 2024","27-30 Oct. 2024","27-30 Oct. 2024","IEEE","IEEE Conferences"
